Month Name,Meter Name,Amount,Monetary Cost,Environmental Cost
3/1/2020,NG11,2213.28,1473.22,
4/1/2020,NG11,8042.29,4646.74,
5/1/2020,NG11,217.86,250.6,
6/1/2020,NG11,1580.56,899.8,
7/1/2020,NG11,1743.72,940.55,
8/1/2020,NG11,1572.36,925.51,
9/1/2020,NG11,1540.91,1021.62,
10/1/2020,NG11,1322.43,835.06,
11/1/2020,NG11,2648.46,1842.48,
12/1/2020,NG11,2162.93,1489.61,
1/1/2021,NG11,1864.41,1235.47,
12/1/2016,NG12,4.19,15.93,
1/1/2017,NG12,20.99,32.71,
2/1/2017,NG12,12.62,23.53,
3/1/2017,NG12,0,12.39,
4/1/2017,NG12,126.06,122.23,
5/1/2017,NG12,12.62,23.25,
6/1/2017,NG12,158.01,150.59,
7/1/2017,NG12,10.44,21.35,
8/1/2017,NG12,11.49,22.14,
9/1/2017,NG12,9.4,20.43,
10/1/2017,NG12,23.02,31.94,
11/1/2017,NG12,4.19,15.97,
12/1/2017,NG12,4.18,16.11,
1/1/2018,NG12,8.4,20.17,
2/1/2018,NG12,78.86,88.58,
3/1/2018,NG12,1.05,13.77,
4/1/2018,NG12,11.52,21.48,
5/1/2018,NG12,11.54,21.63,
6/1/2018,NG12,68.02,69.09,
7/1/2018,NG12,0,12.03,
8/1/2018,NG12,61.5,63.17,
9/1/2018,NG12,20.93,29.62,
10/1/2018,NG12,0,12.03,
11/1/2018,NG12,10.45,23.66,
12/1/2018,NG12,4.19,19.07,
1/1/2019,NG12,8.41,23.08,
2/1/2019,NG12,14.72,27.75,
3/1/2019,NG12,12.63,25.83,
4/1/2019,NG12,11.58,24.82,
5/1/2019,NG12,12.59,19.06,
6/1/2019,NG12,28.23,37.99,
7/1/2019,NG12,22.95,32.93,
8/1/2019,NG12,2.09,17.04,
9/1/2019,NG12,12.53,25.07,
10/1/2019,NG12,24.01,46.71,
12/1/2019,NG12,0,5.82,
12/1/2019,NG12,5.23,20.35,
1/1/2020,NG12,1.05,16.96,
2/1/2020,NG12,6.3,20.79,
3/1/2020,NG12,14.69,26.91,
4/1/2020,NG12,23.11,33.11,
5/1/2020,NG12,11.52,24.49,
6/1/2020,NG12,34.57,40.66,
7/1/2020,NG12,19.86,30.11,
8/1/2020,NG12,14.61,27.29,
9/1/2020,NG12,40.77,49.23,
10/1/2020,NG12,1.05,17.45,
11/1/2020,NG12,0,16.7,
12/1/2020,NG12,45,45,
1/1/2020,NG12,1.05,18.07,
7/1/2017,NG13,0,2.89,
7/1/2017,NG13,0,12.39,
8/1/2017,NG13,0,12.39,
9/1/2017,NG13,0,12.44,
10/1/2017,NG13,0,12.44,
11/1/2017,NG13,0,12.44,
12/1/2017,NG13,0,12.5,
1/1/2018,NG13,0,13.04,
2/1/2018,NG13,0,13.04,
3/1/2018,NG13,0,12.9,
4/1/2018,NG13,3.14,14.62,
5/1/2018,NG13,0,12.03,
6/1/2018,NG13,0,12.03,
7/1/2018,NG13,0,12.03,
8/1/2018,NG13,0,12.03,
9/1/2018,NG13,0,12.03,
